OBJECTID,NAME_2,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
1,Abbeville,1,1865,0.129513887853000,0,59,59,7.781233243970000,8.281208520800000,14512.000000000000000,51,0,35,6
2,Acadia,2,2275,0.157986109847000,0,60,60,12.238681318699999,10.137242749800000,27843.000000000000000,57,6,50,8
3,Accomack,3,1819,0.126319443434000,0,47,47,7.801539307310000,7.053294166420000,14191.000000000000000,40,0,34,7
4,Ada,4,4358,0.302638886468000,0,63,63,17.348554382700001,21.507213780099999,75605.000000000000000,61,0,4,8
5,Adair,5,8255,0.573263884303000,0,58,58,4.650514839490000,7.290849000040000,38390.000000000000000,56,0,54,5
6,Adams,6,40935,2.842708310590000,0,63,63,5.647489923050000,11.741883495000000,231180.000000000000000,61,0,46,0
7,Addison,7,3397,0.235902775891000,0,40,40,4.547541948780000,4.588692633100000,15448.000000000000000,36,0,29,5
8,Aiken,8,3918,0.272083331157000,0,62,62,17.450229708999998,16.338930254299999,68370.000000000000000,60,6,4,9
9,Aitkin,9,8766,0.608749995130000,0,50,50,1.787930641110000,4.165752987600000,15673.000000000000000,42,0,24,0
10,Alachua,10,3348,0.232499998140000,0,63,63,15.295997610500001,16.995445893300001,51211.000000000000000,61,5,41,7
11,Alamance,11,1578,0.109583332457000,5,63,58,21.825095056999999,18.663278134300000,34440.000000000000000,59,8,5,12
12,Alameda,12,2858,0.198472220634000,0,63,63,32.862141357600002,24.273269903399999,93920.000000000000000,61,63,37,26
13,Alamosa,13,2734,0.189861109592000,0,63,63,2.739209948790000,7.664724980850000,7489.000000000000000,53,0,21,0
14,Albany,14,19543,1.357152766920000,0,63,63,3.217418001330000,10.877521894799999,62878.000000000000000,61,0,4,0
15,Albemarle,15,2769,0.192291665128000,0,62,62,8.680028891299999,10.773556594900001,24035.000000000000000,60,5,49,6
16,Alcona,16,2933,0.203680553926000,0,17,17,1.510057961130000,2.957993976240000,4429.000000000000000,14,0,17,0
17,Alcorn,17,1444,0.100277776976000,0,61,61,11.640581717500000,13.083750624700000,16809.000000000000000,59,6,29,7
18,Aleutians East,18,36516,2.535833313050000,0,12,12,0.028590207032500,0.477794568725000,1044.000000000000000,9,0,12,0
19,Aleutians West,19,22390,1.554861098670000,0,47,47,0.194729790085000,1.768376091920000,4360.000000000000000,35,0,25,0
20,Alexander,20,1971,0.136874998905000,0,60,60,9.266869609340000,10.183243131899999,18265.000000000000000,56,0,40,7
21,Alexandria,21,62,0.004305555521110,62,63,1,62.967741935500001,0.176684695969000,3904.000000000000000,2,63,62,63
22,Alfalfa,22,3322,0.230694442599000,0,37,37,2.380192655030000,4.371822116730000,7907.000000000000000,32,0,15,0
23,Alger,23,4178,0.290138886568000,0,43,43,1.187410244140000,4.216503676040000,4961.000000000000000,37,0,30,0
24,Allamakee,24,2750,0.190972220694000,0,55,55,5.910909090910000,6.083096482050000,16255.000000000000000,48,6,30,6
25,Allegan,25,3460,0.240277775856000,0,60,60,14.327167630100000,10.582727314400000,49572.000000000000000,56,8,55,11
26,Allegany,26,5845,0.405902774531000,0,60,60,5.948845166810000,10.561965955400000,34771.000000000000000,57,0,50,0
27,Alleghany,27,2546,0.176805554141000,0,52,52,3.221131186170000,6.536215598710000,8201.000000000000000,44,0,4,0
28,Allegheny,28,2947,0.204652776141000,12,63,51,50.938581608400000,11.684169251000000,150116.000000000000000,51,60,12,56
29,Allen,29,10210,0.709027772106000,0,63,63,14.060137120500000,17.839822394199999,143554.000000000000000,61,0,46,7
30,Allendale,30,1489,0.103402776951000,0,55,55,4.092679650770000,7.733697739820000,6094.000000000000000,42,0,29,0
31,Alpena,31,2515,0.174652776381000,0,56,56,5.834990059640000,8.681337147120001,14675.000000000000000,52,0,25,6
