OBJECTID,NAME_2,ZONE_CODE,COUNT_nl,AREA_nl,MIN_nl,MAX_nl,RANGE_nl,MEAN_nl,STD_nl,SUM_nl,VARIETY_nl,MAJORITY_nl,MINORITY_nl,MEDIAN_nl,COUNT_P,AREA_p,MIN_pop,MAX_pop,RANGE_pop,MEAN_pop,STD_pop,SUM_pop
1,Abbeville,1,1865,0.129513888,0,59,59,7.781233244,8.281208521,14512,51,0,35,6,21299,1331187500,0,264.3887329,264.3887329,1.165670195,6.094301965,24827.60949
2,Acadia,2,2275,0.15798611,0,60,60,12.23868132,10.13724275,27843,57,6,50,8,27305,1706562500,0,394.0574951,394.0574951,2.330658335,11.06470675,63638.62583
3,Accomack,3,1819,0.126319443,0,47,47,7.801539307,7.053294166,14191,40,0,34,7,19300,1206250000,0,194.3583069,194.3583069,1.584013183,6.768485885,30571.45443
4,Ada,4,4358,0.302638886,0,63,63,17.34855438,21.50721378,75605,61,0,4,8,43479,2717437500,0,991.3270874,991.3270874,10.17587458,37.86349153,442436.8508
5,Adair,5,8255,0.573263884,0,58,58,4.650514839,7.290849,38390,56,0,54,5,88139,5508687500,0,1255.492432,1255.492432,0.857431547,7.843751994,75573.15915
6,Adams,6,40935,2.842708311,0,63,63,5.647489923,11.7418835,231180,61,0,46,0,413098,25818625000,0,1335.904541,1335.904541,2.047662528,18.25315442,845885.295
7,Addison,7,3397,0.235902776,0,40,40,4.547541949,4.588692633,15448,36,0,29,5,33604,2100250000,0,527.8324585,527.8324585,1.093798979,6.846720052,36756.0209
8,Aiken,8,3918,0.272083331,0,62,62,17.45022971,16.33893025,68370,60,6,4,9,44979,2811187500,0,436.640686,436.640686,3.73429136,14.19109146,167964.6911
9,Aitkin,9,8766,0.608749995,0,50,50,1.787930641,4.165752988,15673,42,0,24,0,82992,5187000000,0,103.9352798,103.9352798,0.201694894,1.99365102,16739.06266
10,Alachua,10,3348,0.232499998,0,63,63,15.29599761,16.99544589,51211,61,5,41,7,40240,2515000000,0,1339.205566,1339.205566,6.484740463,31.94286697,260945.9562
11,Alamance,11,1578,0.109583332,5,63,58,21.82509506,18.66327813,34440,59,8,5,12,17737,1108562500,0,406.5477295,406.5477295,8.974448357,24.77798003,159179.7905
12,Alameda,12,2858,0.198472221,0,63,63,32.86214136,24.2732699,93920,61,63,37,26,30944,1934000000,0,2458.345215,2458.345215,49.43038666,125.5591433,1529573.885
13,Alamosa,13,2734,0.18986111,0,63,63,2.739209949,7.664724981,7489,53,0,21,0,29944,1871500000,0,305.5394897,305.5394897,0.517307102,6.170250627,15490.24387
14,Albany,14,19543,1.357152767,0,63,63,3.217418001,10.87752189,62878,61,0,4,0,201205,12575312500,0,1653.46106,1653.46106,1.709387217,17.36897656,343937.2551
15,Albemarle,15,2769,0.192291665,0,62,62,8.680028891,10.77355659,24035,60,5,49,6,30043,1877687500,0,789.6012573,789.6012573,3.280936424,17.41538974,98569.173
16,Alcona,16,2933,0.203680554,0,17,17,1.510057961,2.957993976,4429,14,0,17,0,28864,1804000000,0,80.38221741,80.38221741,0.35821291,2.365549385,10339.45743
17,Alcorn,17,1444,0.100277777,0,61,61,11.64058172,13.08375062,16809,59,6,29,7,16690,1043125000,0,212.3435364,212.3435364,2.278159273,9.864265583,38022.47826
18,Aleutians East,18,36516,2.535833313,0,12,12,0.028590207,0.477794569,1044,9,0,12,0,278609,17413062500,0,1006.321289,1006.321289,0.009180901,2.011114753,2557.881724
19,Aleutians West,19,22390,1.554861099,0,47,47,0.19472979,1.768376092,4360,35,0,25,0,179566,11222875000,0,346.5958252,346.5958252,0.02885453,1.863065144,5181.292498
20,Alexander,20,1971,0.136874999,0,60,60,9.266869609,10.18324313,18265,56,0,40,7,21659,1353687500,0,296.5397034,296.5397034,2.142458164,9.065628737,46403.50137
21,Alexandria,21,62,0.004305556,62,63,1,62.96774194,0.176684696,3904,2,63,62,63,646,40375000,0,2185.994141,2185.994141,227.8952586,262.0045736,147220.337
22,Alfalfa,22,3322,0.230694443,0,37,37,2.380192655,4.371822117,7907,32,0,15,0,36713,2294562500,0,965.3337402,965.3337402,0.146574796,5.29256341,5381.200484
23,Alger,23,4178,0.290138887,0,43,43,1.187410244,4.216503676,4961,37,0,30,0,39170,2448125000,0,217.5317078,217.5317078,0.23817746,3.220934976,9329.411106
24,Allamakee,24,2750,0.190972221,0,55,55,5.910909091,6.083096482,16255,48,6,30,6,27269,1704312500,0,136.0950317,136.0950317,0.513697194,4.501602537,14008.00879
25,Allegan,25,3460,0.240277776,0,60,60,14.32716763,10.58272731,49572,56,8,55,11,34911,2181937500,0,312.0416565,312.0416565,3.215512217,11.06289654,112256.747
26,Allegany,26,5845,0.405902775,0,60,60,5.948845167,10.56196596,34771,57,0,50,0,60226,3764125000,0,1372.701782,1372.701782,2.031934404,14.89300762,122375.2814
27,Alleghany,27,2546,0.176805554,0,52,52,3.221131186,6.536215599,8201,44,0,4,0,27875,1742187500,0,242.665329,242.665329,0.823179884,5.329161145,22946.13928
28,Allegheny,28,2947,0.204652776,12,63,51,50.93858161,11.68416925,150116,51,60,12,56,30827,1926687500,0,2986.312744,2986.312744,38.35471741,71.21203873,1182360.874
29,Allen,29,10210,0.709027772,0,63,63,14.06013712,17.83982239,143554,61,0,46,7,111569,6973062500,0,816.6396484,816.6396484,4.726508071,20.74018289,527331.779
30,Allendale,30,1489,0.103402777,0,55,55,4.092679651,7.73369774,6094,42,0,29,0,17209,1075562500,0,331.5464783,331.5464783,0.566589386,5.902981001,9750.436737
31,Alpena,31,2515,0.174652776,0,56,56,5.83499006,8.681337147,14675,52,0,25,6,24690,1543125000,0,186.8545532,186.8545532,1.133528994,7.10485865,27986.83086
32,Alpine,32,2846,0.197638887,0,7,7,0.238931834,1.078038345,680,5,0,7,0,30743,1921437500,0,88.52833557,88.52833557,0.03918771,0.89916556,1204.747764
33,Amador,33,2331,0.161874999,0,60,60,5.501072501,8.381629606,12823,56,0,25,5,25134,1570875000,0,603.6918945,603.6918945,1.560508736,12.40997121,39221.82657
34,Amelia,34,1394,0.096805555,0,20,20,5.068149211,3.28233018,7065,18,5,20,5,15305,956562500,0,149.6380005,149.6380005,0.875336891,5.021036459,13397.03112
35,Amherst,35,1807,0.12548611,0,62,62,6.571112341,10.67362088,11874,59,0,41,5,19726,1232875000,0,423.76474,423.76474,1.640330906,8.906112149,32357.16745
36,Amite,36,2587,0.179652776,0,28,28,3.126014689,3.914476083,8087,25,0,17,0,30359,1897437500,0,83.41244507,83.41244507,0.421649704,2.669133293,12800.86337
37,Anchorage,37,10804,0.750277772,0,63,63,9.611995557,18.07446209,103848,59,0,6,0,71062,4441375000,0,898.7383423,898.7383423,3.920570397,27.8967094,278603.5735
38,Anderson,38,10912,0.757777772,0,63,63,10.35465543,14.5334692,112990,61,0,63,6,123433,7714562500,0,2353.344971,2353.344971,2.953181332,16.57413979,364520.0314
39,Andrew,39,1713,0.118958332,0,60,60,6.900175131,8.758214556,11820,53,0,30,6,18018,1126125000,0,227.7654114,227.7654114,1.01354207,6.448451307,18262.00102
40,Andrews,40,5306,0.368472219,0,62,62,5.887108933,9.568797631,31237,58,0,46,0,62322,3895125000,0,200.3460083,200.3460083,0.250447706,4.490955848,15608.40196
41,Androscoggin,41,2078,0.144305554,0,61,61,15.43022137,13.12656576,32064,58,8,39,10,20615,1288437500,0,798.5909424,798.5909424,5.278693953,22.75899471,108820.2758
42,Angelina,42,3066,0.212916665,0,63,63,7.52739726,13.65049477,23079,61,0,39,0,36044,2252750000,0,532.0505371,532.0505371,2.480586794,12.28373636,89410.27041
43,Anne Arundel,43,1638,0.113749999,12,63,51,46.38766789,17.23044327,75983,52,62,12,55,17440,1090000000,0,4615.828613,4615.828613,31.78763595,72.0893492,554376.3709
44,Anoka,44,1874,0.130138888,10,63,53,38.7945571,16.90136974,72701,54,62,10,38,18551,1159437500,0,829.4593506,829.4593506,18.54630948,40.14548163,344052.5871
45,Anson,45,1956,0.135833332,0,57,57,6.942229039,7.946538901,13579,52,0,28,6,22170,1385625000,0,323.6875,323.6875,1.242287697,7.93275944,27541.51825
46,Antelope,46,3453,0.239791665,0,41,41,1.229076166,3.89716497,4244,34,0,22,0,35606,2225375000,0,90.64658356,90.64658356,0.177909508,2.041304063,6334.645929
47,Antrim,47,2244,0.155833332,0,36,36,6.895276292,5.350562214,15473,31,6,32,6,21791,1361937500,0,124.0112457,124.0112457,1.081467395,4.810508767,23566.256
48,Apache,48,41416,2.876111088,0,55,55,0.79495847,3.234093133,32924,52,0,46,0,464864,29054000000,0,372.0195007,372.0195007,0.154423525,2.400857788,71785.93751
49,Appanoose,49,2035,0.141319443,0,53,53,3.969041769,6.770838237,8077,48,0,19,0,21360,1335000000,0,159.7315979,159.7315979,0.578106444,4.61768105,12348.35365
50,Appling,50,1817,0.126180555,0,62,62,4.784810127,8.613861069,8694,55,0,25,5,21271,1329437500,0,123.6420898,123.6420898,0.868512664,4.682042463,18474.13287
51,Appomattox,51,1297,0.090069444,0,51,51,4.98612182,6.426006708,6467,42,0,18,5,14206,887875000,0,146.1774902,146.1774902,1.11538567,5.561194805,15845.16883
52,Aransas,52,967,0.067152777,0,60,60,6.312306101,13.45787728,6104,52,0,26,0,11695,730937500,0,242.5866089,242.5866089,2.005701393,9.12512442,23456.67779
53,Arapahoe,53,3178,0.220694443,0,63,63,17.41283826,23.95171851,55338,60,0,35,6,33265,2079062500,0,1469.488403,1469.488403,18.3838104,62.7638639,611537.4531
54,Archer,54,3392,0.235555554,0,32,32,1.322523585,3.785023522,4486,29,0,24,0,38486,2405375000,0,97.02398682,97.02398682,0.233509478,2.565300711,8986.845773
55,Archuleta,55,5132,0.356388886,0,40,40,0.798713952,3.617988732,4099,35,0,17,0,56111,3506937500,0,139.4180298,139.4180298,0.234655542,3.198027981,13166.75709
56,Arenac,56,1548,0.107499999,0,42,42,7.241602067,6.203464525,11210,38,0,22,7,15193,949562500,0,107.1637344,107.1637344,0.950468097,4.208787799,14440.4618
57,Arkansas,57,3771,0.261874998,0,59,59,1.816494299,6.534915587,6850,53,0,40,0,42940,2683750000,0,142.0249023,142.0249023,0.421040201,4.393758538,18079.46623
58,Arlington,58,102,0.007083333,63,63,0,63,0,6426,1,63,63,63,1109,69312500,0,2765.188965,2765.188965,192.8165419,272.6270927,213833.545
59,Armstrong,59,5999,0.416597219,0,51,51,5.262043674,7.918046506,31567,49,0,50,0,65677,4104812500,0,366.3771667,366.3771667,1.043485309,7.409348299,68532.98463
60,Aroostook,60,30027,2.085208317,0,58,58,1.862690245,4.935008631,55931,55,0,4,0,282977,17686062500,0,339.6227722,339.6227722,0.249355007,3.161483842,70561.73176
61,Arthur,61,2937,0.203958332,0,9,9,0.070139598,0.68386513,206,7,0,4,0,29949,1871812500,0,36.21531677,36.21531677,0.015538599,0.380265689,465.3655097
62,Ascension,62,1059,0.073541666,5,63,58,35.78942398,20.66299675,37901,59,61,36,38,12625,789062500,0,343.253418,343.253418,9.958185697,23.87714144,125722.0944
63,Ashe,63,1602,0.111249999,0,57,57,4.528089888,8.130076862,7254,50,0,19,0,17853,1115812500,0,426.3729858,426.3729858,1.604896568,7.890805032,28652.21842
64,Ashland,64,6273,0.435624997,0,60,60,5.12386418,8.295194962,32142,58,0,4,0,61284,3830250000,0,943.0141602,943.0141602,1.113081643,8.608241136,68214.09543
65,Ashley,65,3389,0.23534722,0,62,62,2.406904692,7.101878,8157,55,0,32,0,38926,2432875000,0,164.2267609,164.2267609,0.527389945,4.516705722,20529.18099
66,Ashtabula,66,2863,0.198819443,0,57,57,13.10653161,10.69956972,37524,54,7,51,8,29490,1843125000,0,746.9227295,746.9227295,3.386467494,14.13321081,99866.9264
67,Asotin,67,2816,0.195555554,0,60,60,1.183238636,6.079008944,3332,48,0,4,0,26744,1671500000,0,265.004425,265.004425,0.8254437,8.376803032,22075.6663
