OID_,NAME_2,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
,Abbeville,1,21299,1331187500.000000000000000,0.000000000000000,264.388732909999987,264.388732909999987,1.165670195420000,6.094301965110000,24827.609492299998237
,Acadia,2,27305,1706562500.000000000000000,0.000000000000000,394.057495116999974,394.057495116999974,2.330658334910000,11.064706751099999,63638.625834600003145
,Accomack,3,19300,1206250000.000000000000000,0.000000000000000,194.358306884999990,194.358306884999990,1.584013182920000,6.768485884770000,30571.454430400001002
,Ada,4,43479,2717437500.000000000000000,0.000000000000000,991.327087401999961,991.327087401999961,10.175874579400000,37.863491526499999,442436.850838000013027
,Adair,5,88139,5508687500.000000000000000,0.000000000000000,1255.492431639999950,1255.492431639999950,0.857431547297000,7.843751994080000,75573.159147200000007
,Adams,6,413098,25818625000.000000000000000,0.000000000000000,1335.904541019999897,1335.904541019999897,2.047662527960000,18.253154423700000,845885.294973999960348
,Addison,7,33604,2100250000.000000000000000,0.000000000000000,527.832458495999958,527.832458495999958,1.093798979320000,6.846720051560000,36756.020901000003505
,Aiken,8,44979,2811187500.000000000000000,0.000000000000000,436.640686034999987,436.640686034999987,3.734291359580000,14.191091459900001,167964.691061999998055
,Aitkin,9,82992,5187000000.000000000000000,0.000000000000000,103.935279846000000,103.935279846000000,0.201694894238000,1.993651020150000,16739.062662600001204
,Alachua,10,40240,2515000000.000000000000000,0.000000000000000,1339.205566410000074,1339.205566410000074,6.484740463060000,31.942866966299999,260945.956234000012046
,Alamance,11,17737,1108562500.000000000000000,0.000000000000000,406.547729491999974,406.547729491999974,8.974448356710001,24.777980027500000,159179.790502999996534
,Alameda,12,30944,1934000000.000000000000000,0.000000000000000,2458.345214840000153,2458.345214840000153,49.430386657000000,125.559143331000001,1529573.884709999896586
,Alamosa,13,29944,1871500000.000000000000000,0.000000000000000,305.539489746000015,305.539489746000015,0.517307102297000,6.170250626780000,15490.243871200000285
,Albany,14,201205,12575312500.000000000000000,0.000000000000000,1653.461059570000089,1653.461059570000089,1.709387217400000,17.368976561099998,343937.255077000008896
,Albemarle,15,30043,1877687500.000000000000000,0.000000000000000,789.601257324000017,789.601257324000017,3.280936424490000,17.415389742599999,98569.173001100003603
,Alcona,16,28864,1804000000.000000000000000,0.000000000000000,80.382217407200002,80.382217407200002,0.358212909836000,2.365549385360000,10339.457429500000217
,Alcorn,17,16690,1043125000.000000000000000,0.000000000000000,212.343536376999992,212.343536376999992,2.278159272550000,9.864265582600000,38022.478258900002402
,Aleutians East,18,278609,17413062500.000000000000000,0.000000000000000,1006.321289060000026,1006.321289060000026,0.009180901276850,2.011114753440000,2557.881723840000177
,Aleutians West,19,179566,11222875000.000000000000000,0.000000000000000,346.595825194999975,346.595825194999975,0.028854529799000,1.863065144050000,5181.292497890000050
,Alexander,20,21659,1353687500.000000000000000,0.000000000000000,296.539703368999994,296.539703368999994,2.142458163840000,9.065628736930000,46403.501370600002701
,Alexandria,21,646,40375000.000000000000000,0.000000000000000,2185.994140629999947,2185.994140629999947,227.895258557000005,262.004573590000007,147220.337028000009013
,Alfalfa,22,36713,2294562500.000000000000000,0.000000000000000,965.333740233999947,965.333740233999947,0.146574795963000,5.292563410470000,5381.200484199999664
,Alger,23,39170,2448125000.000000000000000,0.000000000000000,217.531707764000004,217.531707764000004,0.238177459957000,3.220934975670000,9329.411106499999732
,Allamakee,24,27269,1704312500.000000000000000,0.000000000000000,136.095031737999989,136.095031737999989,0.513697194126000,4.501602536760000,14008.008786599999439
,Allegan,25,34911,2181937500.000000000000000,0.000000000000000,312.041656493999994,312.041656493999994,3.215512216620000,11.062896536800000,112256.746994000000996
,Allegany,26,60226,3764125000.000000000000000,0.000000000000000,1372.701782229999935,1372.701782229999935,2.031934403700000,14.893007617400000,122375.281396999998833
,Alleghany,27,27875,1742187500.000000000000000,0.000000000000000,242.665328979000009,242.665328979000009,0.823179884383000,5.329161144810000,22946.139277199999924
,Allegheny,28,30827,1926687500.000000000000000,0.000000000000000,2986.312744140000177,2986.312744140000177,38.354717409400003,71.212038730200007,1182360.873579999897629
,Allen,29,111569,6973062500.000000000000000,0.000000000000000,816.639648437999995,816.639648437999995,4.726508070800000,20.740182890000000,527331.778950999956578
,Allendale,30,17209,1075562500.000000000000000,0.000000000000000,331.546478271000012,331.546478271000012,0.566589385615000,5.902981000950000,9750.436737050000374
,Alpena,31,24690,1543125000.000000000000000,0.000000000000000,186.854553223000011,186.854553223000011,1.133528993790000,7.104858649620000,27986.830856699998549
,Alpine,32,30743,1921437500.000000000000000,0.000000000000000,88.528335571300005,88.528335571300005,0.039187709854100,0.899165559911000,1204.747764039999993
,Amador,33,25134,1570875000.000000000000000,0.000000000000000,603.691894531000003,603.691894531000003,1.560508735900000,12.409971209200000,39221.826568099997530
,Amelia,34,15305,956562500.000000000000000,0.000000000000000,149.638000487999989,149.638000487999989,0.875336891435000,5.021036458600000,13397.031123400000070
,Amherst,35,19726,1232875000.000000000000000,0.000000000000000,423.764739990000010,423.764739990000010,1.640330905790000,8.906112149429999,32357.167447700001503
,Amite,36,30359,1897437500.000000000000000,0.000000000000000,83.412445068400004,83.412445068400004,0.421649704114000,2.669133292860000,12800.863367199999630
,Anchorage,37,71062,4441375000.000000000000000,0.000000000000000,898.738342285000044,898.738342285000044,3.920570396970000,27.896709403100001,278603.573549999971874
,Anderson,38,123433,7714562500.000000000000000,0.000000000000000,2353.344970699999976,2353.344970699999976,2.953181332030000,16.574139792000000,364520.031356999999844
,Andrew,39,18018,1126125000.000000000000000,0.000000000000000,227.765411376999992,227.765411376999992,1.013542070330000,6.448451306810000,18262.001023299999360
,Andrews,40,62322,3895125000.000000000000000,0.000000000000000,200.346008301000012,200.346008301000012,0.250447706438000,4.490955848350000,15608.401960600000166
,Androscoggin,41,20615,1288437500.000000000000000,0.000000000000000,798.590942382999970,798.590942382999970,5.278693953120000,22.758994713700002,108820.275844000003417
,Angelina,42,36044,2252750000.000000000000000,0.000000000000000,532.050537108999947,532.050537108999947,2.480586794220000,12.283736363999999,89410.270411000004970
,Anne Arundel,43,17440,1090000000.000000000000000,0.000000000000000,4615.828613280000354,4615.828613280000354,31.787635947599998,72.089349198400001,554376.370925000053830
,Anoka,44,18551,1159437500.000000000000000,0.000000000000000,829.459350586000028,829.459350586000028,18.546309478100000,40.145481633899998,344052.587126999977045
,Anson,45,22170,1385625000.000000000000000,0.000000000000000,323.687500000000000,323.687500000000000,1.242287697140000,7.932759439810000,27541.518245700000989
,Antelope,46,35606,2225375000.000000000000000,0.000000000000000,90.646583557100001,90.646583557100001,0.177909507628000,2.041304063410000,6334.645928609999828
,Antrim,47,21791,1361937500.000000000000000,0.000000000000000,124.011245728000006,124.011245728000006,1.081467394650000,4.810508767170000,23566.255996700001560
,Apache,48,464864,29054000000.000000000000000,0.000000000000000,372.019500731999983,372.019500731999983,0.154423524968000,2.400857787520000,71785.937510899995686
,Appanoose,49,21360,1335000000.000000000000000,0.000000000000000,159.731597899999997,159.731597899999997,0.578106444444000,4.617681049730000,12348.353653300000587
,Appling,50,21271,1329437500.000000000000000,0.000000000000000,123.642089843999997,123.642089843999997,0.868512663944000,4.682042462870000,18474.132874700000684
,Appomattox,51,14206,887875000.000000000000000,0.000000000000000,146.177490234000004,146.177490234000004,1.115385670300000,5.561194804930000,15845.168832299999849
,Aransas,52,11695,730937500.000000000000000,0.000000000000000,242.586608887000011,242.586608887000011,2.005701392770000,9.125124420350000,23456.677788400000281
,Arapahoe,53,33265,2079062500.000000000000000,0.000000000000000,1469.488403320000089,1469.488403320000089,18.383810404799998,62.763863904099999,611537.453115000040270
,Archer,54,38486,2405375000.000000000000000,0.000000000000000,97.023986816399997,97.023986816399997,0.233509478064000,2.565300711050000,8986.845772759999818
,Archuleta,55,56111,3506937500.000000000000000,0.000000000000000,139.418029784999987,139.418029784999987,0.234655541550000,3.198027980800000,13166.757091900000887
,Arenac,56,15193,949562500.000000000000000,0.000000000000000,107.163734435999999,107.163734435999999,0.950468096845000,4.208787798550000,14440.461795400000483
,Arkansas,57,42940,2683750000.000000000000000,0.000000000000000,142.024902343999997,142.024902343999997,0.421040200866000,4.393758537980000,18079.466225200001645
,Arlington,58,1109,69312500.000000000000000,0.000000000000000,2765.188964840000153,2765.188964840000153,192.816541921000010,272.627092695999977,213833.544989999994868
,Armstrong,59,65677,4104812500.000000000000000,0.000000000000000,366.377166747999979,366.377166747999979,1.043485308820000,7.409348298700000,68532.984627099998761
,Aroostook,60,282977,17686062500.000000000000000,0.000000000000000,339.622772216999977,339.622772216999977,0.249355006803000,3.161483842320000,70561.731760199996643
,Arthur,61,29949,1871812500.000000000000000,0.000000000000000,36.215316772500003,36.215316772500003,0.015538599274600,0.380265688854000,465.365509675999988
,Ascension,62,12625,789062500.000000000000000,0.000000000000000,343.253417968999997,343.253417968999997,9.958185697450000,23.877141441300001,125722.094429999997374
,Ashe,63,17853,1115812500.000000000000000,0.000000000000000,426.372985840000013,426.372985840000013,1.604896567700000,7.890805031510000,28652.218423199999961
,Ashland,64,61284,3830250000.000000000000000,0.000000000000000,943.014160156000003,943.014160156000003,1.113081643340000,8.608241135820000,68214.095430500005023
,Ashley,65,38926,2432875000.000000000000000,0.000000000000000,164.226760863999999,164.226760863999999,0.527389944790000,4.516705722180000,20529.180990900000324
,Ashtabula,66,29490,1843125000.000000000000000,0.000000000000000,746.922729492000030,746.922729492000030,3.386467494060000,14.133210807499999,99866.926399899995886
,Asotin,67,26744,1671500000.000000000000000,0.000000000000000,265.004425049000019,265.004425049000019,0.825443699645000,8.376803031710001,22075.666303300000436
,Assumption,68,15308,956750000.000000000000000,0.000000000000000,177.562469482000012,177.562469482000012,1.527183009550000,7.577344613090000,23378.117510200001561
,Atascosa,69,51083,3192687500.000000000000000,0.000000000000000,367.527801513999975,367.527801513999975,0.931359057353000,7.884561769880000,47576.614726799998607
,Atchison,70,40900,2556250000.000000000000000,0.000000000000000,365.918762206999986,365.918762206999986,0.533980447478000,5.451979518040000,21839.800301800001762
,Athens,71,21122,1320125000.000000000000000,0.000000000000000,2940.404541020000124,2940.404541020000124,3.093983610390000,30.392373245900000,65351.121818699997675
,Atkinson,72,14299,893687500.000000000000000,0.000000000000000,139.082763671999999,139.082763671999999,0.608070931333000,4.728647883680000,8694.806247119999171
,Atlantic,73,23885,1492812500.000000000000000,0.000000000000000,1386.385620120000112,1386.385620120000112,11.768633724000001,43.536587938700002,281093.816496999992523
,Atoka,74,41073,2567062500.000000000000000,0.000000000000000,357.422912597999982,357.422912597999982,0.339603563364000,3.295896214250000,13948.537157999999181
,Attala,75,30974,1935875000.000000000000000,0.000000000000000,179.428390503000003,179.428390503000003,0.630253349270000,4.792561499610000,19521.467240300000412
,Audrain,76,28872,1804500000.000000000000000,0.000000000000000,706.176879882999970,706.176879882999970,0.868957516009000,8.802769722940001,25088.541402200000448
,Audubon,77,18362,1147625000.000000000000000,0.000000000000000,111.187698363999999,111.187698363999999,0.312651067852000,3.133127237980000,5740.898907900000268
,Auglaize,78,16640,1040000000.000000000000000,0.000000000000000,389.821197509999990,389.821197509999990,2.725675107660000,12.594894642700000,45355.233791400001792
,Augusta,79,40100,2506250000.000000000000000,0.000000000000000,608.964050293000014,608.964050293000014,1.929375266250000,10.327152980799999,77367.948176799996872
,Aurora,80,29555,1847187500.000000000000000,0.000000000000000,62.079643249500002,62.079643249500002,0.085735503475000,1.226305514230000,2533.912805200000093
,Austin,81,27203,1700187500.000000000000000,0.000000000000000,408.933074950999981,408.933074950999981,1.132845263720000,7.093822483110000,30816.789708899999823
,Autauga,82,25062,1566375000.000000000000000,0.000000000000000,228.988479613999999,228.988479613999999,2.415914397970000,12.234947349300000,60547.646641999999702
,Avery,83,10158,634875000.000000000000000,0.000000000000000,235.498138428000004,235.498138428000004,1.748400775560000,8.493309906140000,17760.255078099999082
,Avoyelles,84,35886,2242875000.000000000000000,0.000000000000000,1421.271606450000036,1421.271606450000036,1.168314370430000,10.193546731200000,41926.129497100002482
,Baca,85,105804,6612750000.000000000000000,0.000000000000000,106.923698424999998,106.923698424999998,0.032424641872600,0.903986931195000,3430.656808690000162
,Bacon,86,11908,744250000.000000000000000,0.000000000000000,263.567291259999990,263.567291259999990,0.966991693703000,6.188101681670000,11514.937088599999697
,Bailey,87,34206,2137875000.000000000000000,0.000000000000000,175.428787231000001,175.428787231000001,0.216134445231000,3.558958950680000,7393.094833580000341
,Baker,88,167274,10454625000.000000000000000,0.000000000000000,613.744750976999967,613.744750976999967,0.289688562558000,4.555476612710000,48457.364613300000201
,Baldwin,89,79211,4950687500.000000000000000,0.000000000000000,657.826171875000000,657.826171875000000,3.154655089290000,13.073066133399999,249883.384278000012273
,Ballard,90,11366,710375000.000000000000000,0.000000000000000,120.955978393999999,120.955978393999999,0.717713554943000,4.173967245350000,8157.532265480000206
,Baltimore,91,28652,1790750000.000000000000000,0.000000000000000,3419.184570309999799,3419.184570309999799,49.642325426900001,108.034878802999998,1422351.908130000112578
,Bamberg,92,16393,1024562500.000000000000000,0.000000000000000,234.950790404999992,234.950790404999992,0.948818119671000,5.944299990010000,15553.975435799999104
,Bandera,93,33285,2080312500.000000000000000,0.000000000000000,96.838722228999998,96.838722228999998,0.653045958648000,3.669563359230000,21736.634733599999890
,Banks,94,9700,606250000.000000000000000,0.000000000000000,245.927413940000008,245.927413940000008,2.108215569180000,7.508415087170000,20449.691020999998727
,Banner,95,30817,1926062500.000000000000000,0.000000000000000,14.194983482400000,14.194983482400000,0.020381404140900,0.260214561154000,628.093731411000022
,Bannock,96,47685,2980312500.000000000000000,0.000000000000000,469.731262206999986,469.731262206999986,1.803107074980000,14.701925986999999,85981.160870299994713
,Baraga,97,38180,2386250000.000000000000000,0.000000000000000,444.050140381000006,444.050140381000006,0.230690402855000,3.677128349480000,8807.759580989999449
,Barber,98,46875,2929687500.000000000000000,0.000000000000000,107.055496215999995,107.055496215999995,0.097884579391000,1.786460065950000,4588.339658949999830
,Barbour,99,51689,3230562500.000000000000000,0.000000000000000,994.549011230000019,994.549011230000019,0.835483341874000,7.813979153740000,43185.298458099998243
,Barnes,100,62827,3926687500.000000000000000,0.000000000000000,211.175765990999992,211.175765990999992,0.169361477952000,2.958647976300000,10640.473575300000448
,Barnstable,101,16981,1061312500.000000000000000,0.000000000000000,1023.462341310000056,1023.462341310000056,12.356769070700000,21.235676103700001,209830.295588999986649
,Barnwell,102,23219,1451187500.000000000000000,0.000000000000000,164.876098632999998,164.876098632999998,0.946781193561000,5.480315148330000,21983.312533299998904
,Barren,103,20757,1297312500.000000000000000,0.000000000000000,261.891235352000024,261.891235352000024,2.115115849530000,9.501856354639999,43903.459688700000697
,Barron,104,36894,2305875000.000000000000000,0.000000000000000,236.966522217000005,236.966522217000005,1.243277863340000,6.718332456780000,45869.493490100001509
,Barrow,105,6758,422375000.000000000000000,0.000000000000000,254.347808837999992,254.347808837999992,12.470799814099999,21.845297586600001,84277.665143699996406
,Barry,106,57038,3564875000.000000000000000,0.000000000000000,187.438583373999990,187.438583373999990,1.702714047410000,7.749146182680000,97119.403836500001489
,Bartholomew,107,17034,1064625000.000000000000000,0.000000000000000,472.020629883000026,472.020629883000026,4.626715775030000,19.723844101099999,78811.476511899993056
,Barton,108,61840,3865000000.000000000000000,0.000000000000000,198.955688476999995,198.955688476999995,0.634732531909000,6.113040401160000,39251.859773299998778
,Bartow,109,19594,1224625000.000000000000000,0.000000000000000,306.286407471000018,306.286407471000018,5.819672441850000,17.958162656799999,114030.661825999995926
,Bastrop,110,37011,2313187500.000000000000000,0.000000000000000,647.871032714999956,647.871032714999956,2.214764165640000,12.231123902700000,81970.636534399993252
,Bates,111,35365,2210312500.000000000000000,0.000000000000000,177.880920409999987,177.880920409999987,0.477882758815000,3.803197406890000,16900.323765500001173
,Bath,112,34031,2126937500.000000000000000,0.000000000000000,309.649902343999997,309.649902343999997,0.478307424405000,4.441702996880000,16277.279959900000904
,Baxter,113,24271,1516937500.000000000000000,0.000000000000000,348.043426513999975,348.043426513999975,1.759846437260000,8.600792036830001,42713.232878800001345
,Bay,114,50884,3180250000.000000000000000,0.000000000000000,887.764953612999989,887.764953612999989,5.567308035670000,20.789064812199999,283286.902087000024039
,Bayfield,115,62421,3901312500.000000000000000,0.000000000000000,124.323684692000000,124.323684692000000,0.227246846979000,2.058364087170000,14184.975435300000754
,Baylor,116,37730,2358125000.000000000000000,0.000000000000000,80.084533691399997,80.084533691399997,0.093330947825300,1.755876089020000,3521.376661450000029
,Beadle,117,52315,3269687500.000000000000000,0.000000000000000,205.643890381000006,205.643890381000006,0.332907778384000,4.788606060760000,17416.070426199999929
,Bear Lake,118,43510,2719375000.000000000000000,0.000000000000000,123.324813843000001,123.324813843000001,0.132798410204000,1.998872509200000,5778.058827980000387
,Beaufort,119,59014,3688375000.000000000000000,0.000000000000000,489.576873778999982,489.576873778999982,3.959997624320000,15.801193605200000,233695.299801999994088
,Beauregard,120,48553,3034562500.000000000000000,0.000000000000000,523.988525391000053,523.988525391000053,0.767768143777000,5.737040090140000,37277.446684800001094
,Beaver,121,199960,12497500000.000000000000000,0.000000000000000,477.916717528999982,477.916717528999982,0.881386612195000,7.998821395560000,176242.066973999986658
,Beaverhead,122,230641,14415062500.000000000000000,0.000000000000000,208.097427368000012,208.097427368000012,0.039761342859000,1.357286562480000,9170.595878349999111
,Becker,123,59588,3724250000.000000000000000,0.000000000000000,229.669418334999989,229.669418334999989,0.559447705913000,4.563370147170000,33336.369899999997870
,Beckham,124,37701,2356312500.000000000000000,0.000000000000000,1691.514404300000024,1691.514404300000024,0.613720225428000,10.304269821200000,23137.866218899998785
,Bedford,125,94020,5876250000.000000000000000,0.000000000000000,400.917938231999983,400.917938231999983,1.811577571560000,8.229022738519999,170324.523278000007849
,Bedford City,126,355,22187500.000000000000000,0.000000000000000,142.536788940000008,142.536788940000008,19.236482269500002,24.158060055100002,6828.951205659999687
,Bee,127,37093,2318312500.000000000000000,0.000000000000000,2179.046630859999823,2179.046630859999823,0.843534378915000,20.052408279800002,31289.220717100000911
,Belknap,128,19394,1212125000.000000000000000,0.000000000000000,286.771118163999972,286.771118163999972,3.173803205170000,12.836774524999999,61552.739360999999917
,Bell,129,60185,3761562500.000000000000000,0.000000000000000,814.786132812999995,814.786132812999995,6.287746095440000,27.845304298799999,378427.998754000000190
,Belmont,130,22538,1408625000.000000000000000,0.000000000000000,409.688385009999990,409.688385009999990,3.096826232810000,14.348111081400001,69796.269635100004962
,Beltrami,131,126787,7924187500.000000000000000,0.000000000000000,566.090698242000030,566.090698242000030,0.366495993686000,4.772740667760000,46466.927551499997207
,Ben Hill,132,10541,658812500.000000000000000,0.000000000000000,263.341430663999972,263.341430663999972,1.666672862700000,9.219690033399999,17568.398645699999179
,Benewah,133,32568,2035500000.000000000000000,0.000000000000000,159.027450562000013,159.027450562000013,0.284770171327000,3.224576176280000,9274.394939780000641
,Bennett,134,49790,3111875000.000000000000000,0.000000000000000,118.103103637999993,118.103103637999993,0.068033965244800,1.520549502540000,3387.411129539999820
,Bennington,135,28254,1765875000.000000000000000,0.000000000000000,263.259460449000017,263.259460449000017,1.307944279640000,7.926167945920000,36954.657677000002877
,Benson,136,59254,3703375000.000000000000000,0.000000000000000,123.837242126000007,123.837242126000007,0.108941198984000,1.903726286570000,6455.201804620000075
,Bent,137,64026,4001625000.000000000000000,0.000000000000000,447.373474121000015,447.373474121000015,0.104659747949000,3.573567197480000,6700.945022210000388
,Benton,138,267120,16695000000.000000000000000,0.000000000000000,1426.947143549999964,1426.947143549999964,2.482551606330000,16.377223813200001,663139.185082999989390
,Benzie,139,14354,897125000.000000000000000,0.000000000000000,146.035354613999999,146.035354613999999,1.262682984500000,5.920554128990000,18124.551559600000473
,Bergen,140,10323,645187500.000000000000000,0.000000000000000,1962.043945310000026,1962.043945310000026,88.982186560299994,127.532097406999995,918563.111861999961548
,Berkeley,141,64895,4055937500.000000000000000,0.000000000000000,1492.487548829999923,1492.487548829999923,4.890058443090000,22.489899353700000,317340.342665000003763
,Berks,142,35939,2246187500.000000000000000,0.000000000000000,1474.912963870000112,1474.912963870000112,11.885440509700000,45.475421997600002,427150.846476999984588
,Berkshire,143,39372,2460750000.000000000000000,0.000000000000000,459.256591796999999,459.256591796999999,3.254219726810000,15.647760538400000,128125.139083999994909
,Bernalillo,144,48512,3032000000.000000000000000,0.000000000000000,979.336608887000011,979.336608887000011,14.793695999900001,50.648424968900002,717671.780349000007845
,Berrien,145,43008,2688000000.000000000000000,0.000000000000000,663.212951660000044,663.212951660000044,4.021293913950000,15.489915777700000,172947.808650999999372
,Bertie,146,29128,1820500000.000000000000000,0.000000000000000,306.768188477000024,306.768188477000024,0.749160861442000,5.078898325500000,21821.557572099998652
,Bethel,147,1703964,106497750000.000000000000000,0.000000000000000,267.054931640999996,267.054931640999996,0.009157495925860,0.837501591320000,15604.043387800000346
,Bexar,148,52354,3272125000.000000000000000,0.000000000000000,2920.336669920000077,2920.336669920000077,35.958219430600003,77.450144509200001,1882556.620069999946281
,Bibb,149,36620,2288750000.000000000000000,0.000000000000000,993.596374512000011,993.596374512000011,4.887740070850000,20.094773045299998,178989.041395000007469
,Bienville,150,34237,2139812500.000000000000000,0.000000000000000,132.620376587000010,132.620376587000010,0.394694470628000,3.030211506680000,13513.154590899999675
,Big Horn,151,338975,21185937500.000000000000000,0.000000000000000,173.083206176999994,173.083206176999994,0.072066925231000,1.702402332100000,24428.885980200000631
,Big Stone,152,21868,1366750000.000000000000000,0.000000000000000,111.269378661999994,111.269378661999994,0.227046579670000,2.609676463920000,4965.054604220000328
